BOT	DISCOUNT	CATEGORY	URL
BOT1	25	KURUTMALI_CAMASIR	https://www.hepsiburada.com/kurutmali-camasir-makinesi-c-80813000
BOT1	35	MOTO_CANTA	https://www.hepsiburada.com/motosiklet-sirt-cantalari-c-60005706
BOT9	30	ELEKTRIKLI_BISIKLET	https://www.hepsiburada.com/elektrikli-bisikletler-c-27026409
BOT1	25	SES_SISTEMI	https://www.hepsiburada.com/lg-samsung-philips-sony-jbl-harmankardon3-bose-pioneer-bowerswilkins-yamaha-grundig-panasonic/ev-sinema-sistemleri-c-152492
BOT1	25	MIKRODALGA	https://www.hepsiburada.com/mikrodalga-firinlar-c-22021
BOT1	25	ISLEMCI	https://www.hepsiburada.com/islemciler-c-46
BOT1	25	BLUETOOTH_HOPLARLOR	https://www.hepsiburada.com/jbl-sony-harmankardon3-bose-anker-bangolufsen-marshall-bowerswilkins-creative-ultimateears/bluetooth-hoparlorler-c-60004557
BOT1	25	LAZER_EPILASYON	https://www.hepsiburada.com/ipl-lazerler-c-60003905
BOT1	20	NB_OYUN	https://www.hepsiburada.com/oyuncu-laptoplari-c-95583
BOT2	30	YOL_YARIS_BISIKLETI	https://www.hepsiburada.com/yol-yaris-bisikletleri-c-1801018
BOT8	20	KOMBI	https://www.hepsiburada.com/kombiler-c-17723
BOT5	25	ASPIRATOR	https://www.hepsiburada.com/aspiratorler-c-22002
BOT15	50	COCUK_GIYIM	https://www.hepsiburada.com/spor-giyim-urunleri-c-60000545?filtreler=cinsiyet:%E2%82%ACC3%E2%82%AC87ocuk
BOT13	25	MIKSERLER	https://www.hepsiburada.com/mikserler-c-22022
BOT11	30	KONDUSYON_BISIKLETLERI	https://www.hepsiburada.com/kondisyon-bisikletleri-c-407474
BOT9	30	JENARATOR	https://www.hepsiburada.com/jeneratorler-c-13003121
BOT1	35	HAVA_KOMPRESORU	https://www.hepsiburada.com/hava-kompresorleri-c-13003092
BOT1	25	DRONE	https://www.hepsiburada.com/drone-multikopter-c-60006033
BOT1	25	CAMASIR_MAKINESI	https://www.hepsiburada.com/camasir-makineleri-c-155121
BOT1	25	PROJEKSIYON	https://www.hepsiburada.com/projeksiyon-cihazlari-c-15530
BOT1	25	SSD	https://www.hepsiburada.com/ssd-solid-state-drive-c-60000010
BOT1	20	TELEFON	https://www.hepsiburada.com/cep-telefonlari-c-371965
BOT1	25	BASS_GITAR	https://www.hepsiburada.com/bass-gitarlar-c-19018200
BOT1	25	AKILLI_SAAT	https://www.hepsiburada.com/xiaomi-huawei-samsung-apple-superga-diesel-skagen-asus-oneplus-honor-amazfit-oppo-lenovo-casio-garmin-fossil-polar-emporioarmani/akilli-saatler-c-60003676
BOT1	25	TABLET	https://www.hepsiburada.com/tablet-c-3008012
BOT1	35	AKULU_ARAC	https://www.hepsiburada.com/akulu-pedalli-araclar-c-306860
BOT1	25	TOZ_TORBASIZ_SUPURGE	https://www.hepsiburada.com/toz-torbasiz-supurge-c-80160030
BOT4	25	EPILASYON	https://www.hepsiburada.com/epilatorler-c-26012145
BOT9	25	PIKAP	https://www.hepsiburada.com/pikaplar-c-406932
BOT11	25	AKSIYON_KAMERA	https://www.hepsiburada.com/xiaomi-gopro-sony-sjcam-eken-dji-yi-insta360-thieye/aksiyon-kameralari-c-22018092
BOT13	50	DIGER_ERKEK	https://www.hepsiburada.com/quiksilver-salomon-lowa-scarpa-timberland-kappa-thenorthface-merrell-keen-jackwolfskin-camper-columbia-hellyhansen-5%E2%82%AC2e11-harleydavidson-owndays-snickers-axis-convers/spor-ayakkabilar-c-384551?filtreler=cinsiyet:Erkek
BOT15	25	FIRIN	https://www.hepsiburada.com/firinlar-c-22016
BOT1	25	TASINABILIR_HOPARLOR	https://www.hepsiburada.com/tasinabilir-hoparlorler-c-376097
BOT2	25	BUZDOLABI	https://www.hepsiburada.com/buzdolaplari-c-22154
BOT2	35	MOTOR_YAGI	https://www.hepsiburada.com/castrol-motul-mobil-liquimoly-shell-petronas-eneos/motor-yagi-c-80531050
BOT2	25	DAVLUMBAZ	https://www.hepsiburada.com/davlumbazlar-c-22006
BOT2	35	COCUK_SCOOTER	https://www.hepsiburada.com/cocuk-scooter-c-60006533
BOT2	25	KATTLE	https://www.hepsiburada.com/su-isiticilar-c-22027
BOT2	35	AHSAP_METAL_KESME	https://www.hepsiburada.com/ahsap-metal-kesme-makineleri-c-13003110
BOT2	25	AKILLI_BILEKLIK	https://www.hepsiburada.com/akilli-bileklikler-c-60004670
BOT3	50	OUTDOOR_MARKA	https://www.hepsiburada.com/billabong-lowa-asolo-dolomite/outdoor-ayakkabilar-c-22003663
BOT3	25	RAM	https://www.hepsiburada.com/kingston-hyperx-xpg-hp-transcend-acer-dell-lenovo-huawei-ibm-corsair-gskill-crucial-samsung-team/bellek-ramler-c-47
BOT3	25	AKUSTIK_GITAR	https://www.hepsiburada.com/akustik-gitarlar-c-19018198
BOT3	50	DIGER_BAYAN	https://www.hepsiburada.com/skechers-columbia-thenorthface-quiksilver-exuma-asics-salomon-kelanji-merrell-jackwolfskin-5%E2%82%AC2e11-fenerium-hellyhansen-levis1-norwaygeographical-quechua/spor-giyim-urunleri-c-60000545?filtreler=cinsiyet:Erkek
BOT3	50	TERMOS	https://www.hepsiburada.com/stanley-contigo-starbucks-zojirushi-thermos-igloo-quechua-kovea-mannhartbyspigen-cooker-aladdin-esbit/kamp-termoslari-c-367284
BOT3	50	OLTA_TAKIMI_2	https://www.hepsiburada.com/daiwa-sasa-ryobi-seafarifishing/kamis-olta-takimlari-c-1308748
BOT4	25	UTULER	https://www.hepsiburada.com/utuler-c-155122
BOT4	50	HUMMEL_BAYAN	https://www.hepsiburada.com/hummel/spor-ayakkabilar-c-384551?filtreler=cinsiyet:Kad%E2%82%ACC4%E2%82%ACB1n
BOT4	25	AMFILER	https://www.hepsiburada.com/muzik-amfileri-c-403911
BOT4	30	SEHIR_BISIKLETI	https://www.hepsiburada.com/sehir-bisikletleri-c-367159
BOT4	25	KULAKLIK	https://www.hepsiburada.com/jbl-sony-xiaomi-asus-hp-razer-corsair-beats-steelseries-logitech-sennheiser-philips-samsung-hyperx-pioneer-bose-gamepower-msi-marshall-huawei-jabra-skullcandy-jamesdonkey-urbanears-oppo-tcl-anker-audiotechnica-creative-denon-fiio-dell-philips3-yamaha-oneplus/kulakliklar-c-520
BOT5	25	KASA	https://www.hepsiburada.com/bilgisayar-kasalari-c-1013
BOT5	35	UFLEMELI_CALGILAR	https://www.hepsiburada.com/nefesli-calgilar-c-411209?filtreler=fiyat:200-max
BOT5	30	COCUK_BISIKLETI	https://www.hepsiburada.com/cocuk-bisikletleri-c-22005313
BOT5	50	DIGER_BAYAN	https://www.hepsiburada.com/underarmour-vans-converse-asics-salomon-merrell-salamon/spor-ayakkabilar-c-384551?filtreler=cinsiyet:Kad%E2%82%ACC4%E2%82%ACB1n
BOT6	25	TIRAS_MAKINELERI	https://www.hepsiburada.com/sac-sakal-kesme-tuy-temizleme-makineleri-c-26012161
BOT6	25	NB_DIGER2	https://www.hepsiburada.com/acer-casper-monster/laptop-notebook-dizustu-bilgisayarlar-c-98
BOT6	25	KONSOL	https://www.hepsiburada.com/sony-microsoft-nintendo-logitech/oyunlar-oyun-konsollari-c-2147483602
BOT6	25	SAC_KURUTMA	https://www.hepsiburada.com/sac-kurutma-makineleri-c-26012128
BOT7	25	SINEMA_SISTEMI	https://www.hepsiburada.com/ev-sinema-sistemleri-c-152492
BOT7	25	AG_MODEM	https://www.hepsiburada.com/tplink-asus-xiaomi-zyxel-keenetic-tenda-hp-slink-huawei-mercusys-google-intel-cisco/ag-modemler-c-3013122
BOT7	25	BEBEK_ARABASI	https://www.hepsiburada.com/bebek-arabasi-pusetleri-c-305668?filtreler=fiyat:650-6999
BOT7	25	OYUNCU_OZEL	https://www.hepsiburada.com/oyuncular-ozel-bilgisayar-bilesenleri-c-86008
BOT8	20	MASAUSTU_BILGISAYAR	https://www.hepsiburada.com/lenovo-dell-hp-asus-msi/masaustu-bilgisayarlar-c-34?filtreler=islemcinesli:10%E2%82%AC2eNesil,11%E2%82%AC2eNesil,Ryzen
