BOT	DISCOUNT	CATEGORY	URL
BOT6	20	NB_DIGER	https://www.hepsiburada.com/apple-razer-huawei-asus-msi-xiaomi-google-gigabyte-toshiba-gamegaraj/laptop-notebook-dizustu-bilgisayarlar-c-98
BOT6	50	OLTA_TAKIMI_1	https://www.hepsiburada.com/albastar-remixon-dam-bauer-abugarcia-yumoshi-okuma-shimano/kamis-olta-takimlari-c-1308748
BOT6	50	PUMA_BAYAN	https://www.hepsiburada.com/puma/spor-ayakkabilar-c-384551?filtreler=cinsiyet:Kad%E2%82%ACC4%E2%82%ACB1n
BOT7	25	BEBEK_MAMA	https://www.hepsiburada.com/aptamil-bebelac-sma-hipp-similac-herobaby-evolvia-arimama-ari-humana-goldengoat-milupa-vitalygurme-babygoat/bebek-mamalari-c-301163?siralama=azalanfiyat
BOT7	50	SKECEHERS_NEWBALANCE_REEBOK_BAYAN	https://www.hepsiburada.com/skechers-newbalance-reebok/spor-ayakkabilar-c-384551?filtreler=cinsiyet:Kad%E2%82%ACC4%E2%82%ACB1n
BOT7	50	ADIDAS_GIYIM_ERKEK	https://www.hepsiburada.com/adidas/spor-giyim-urunleri-c-60000545?filtreler=cinsiyet:Erkek
BOT8	25	HAVA_TEMIZLEME_NEMLENDIRME	https://www.hepsiburada.com/hava-temizleme-nem-alma-cihazlari-c-17175
BOT8	50	OLTA_KAMIS_3	https://www.hepsiburada.com/shimano2-albastar-dam2-lineaeffe-dam/kamislar-c-1307209?
BOT8	20	NB_HP	https://www.hepsiburada.com/hp/laptop-notebook-dizustu-bilgisayarlar-c-98
BOT9	25	ANKASTRE_SET	https://www.hepsiburada.com/ankastre-setler-c-234329
BOT9	50	OUTDOOR_AYAKKABI_KADIN	https://www.hepsiburada.com/salomon-thenorthface-columbia-adidas-jackwolfskin-hellyhansen-skechers-keen-quiksilver-nike-timberland-asics-underarmour-salewa-reebok-millet-mizuno-merrell/outdoor-ayakkabilar-c-22003663?filtreler=cinsiyet:Kad%E2%82%ACC4%E2%82%ACB1n
BOT9	20	NB_DELL	https://www.hepsiburada.com/dell/laptop-notebook-dizustu-bilgisayarlar-c-98?filtreler=islemcinesli:11%E2%82%AC2eNesil,10%E2%82%AC2eNesil,Ryzen;islemcitipi:Intel%E2%82%AC20Core%E2%82%AC20i7,Intel%E2%82%AC20Core%E2%82%AC20i5,AMD%E2%82%AC20Ryzen%E2%82%AC205,Intel%E2%82%AC20Core%E2%82%AC20i9,AMD%E2%82%AC20Ryzen%E2%82%AC207;ramsistembellegi:16%E2%82%AC20GB,32%E2%82%AC20GB,8%E2%82%AC20GB,64%E2%82%AC20GB,12%E2%82%AC20GB,36%E2%82%AC20GB,40%E2%82%AC20GB,128%E2%82%AC20GB,24%E2%82%AC20GB,20%E2%82%AC20GB
BOT10	25	CEVRE_BIRIM	https://www.hepsiburada.com/logitech-razer-sennheiser-xiaomi-microsoft-msi-steelseries-samsung-corsair/cevre-birimleri-c-3013120
BOT10	25	KAHVE_MAKINESI	https://www.hepsiburada.com/kahve-makineleri-c-22348
BOT10	25	BLENDER	https://www.hepsiburada.com/blenderlar-c-22003
BOT11	35	NERF_TABANCA	https://www.hepsiburada.com/oyuncak-silah-su-tabancasi-c-60006422
BOT11	25	SAC_SEKELLENDIRME	https://www.hepsiburada.com/sac-sekillendirme-cihazlari-c-26012129
BOT11	25	SARJLI_FIRCALAR	https://www.hepsiburada.com/dis-fircalari-c-26012117?filtreler=fircaturu:%E2%82%ACC5%E2%82%AC9Earjl%E2%82%ACC4%E2%82%ACB1,Pilli
BOT12	25	BEBEK_SAGLIGI	https://www.hepsiburada.com/bebek-sagligi-urunleri-c-301160?filtreler=fiyat:125-max
BOT12	25	ELEKTRO_GITAR	https://www.hepsiburada.com/elektro-gitarlar-c-19018199
BOT12	25	PEDALLAR	https://www.hepsiburada.com/muzik-pedallari-c-411154
BOT13	35	MOTO_KASK	https://www.hepsiburada.com/shoei-agv-ls2-shark-arai/kasklar-c-20029253?filtreler=fiyat:400-max
BOT13	35	MATKAP	https://www.hepsiburada.com/matkaplar-c-13003095
BOT13	35	TASLAMA	https://www.hepsiburada.com/taslamalar-c-13003107
BOT14	50	NIKE _BAYAN	https://www.hepsiburada.com/nike/spor-ayakkabilar-c-384551?filtreler=cinsiyet:Kad%E2%82%ACC4%E2%82%ACB1n
BOT14	50	NIKE_ERKEK	https://www.hepsiburada.com/nike/spor-ayakkabilar-c-384551?filtreler=cinsiyet:Erkek
BOT14	50	ADIDAS_ERKEK	https://www.hepsiburada.com/adidas/spor-ayakkabilar-c-384551?filtreler=cinsiyet:Erkek
BOT15	50	PUMA_UNDERARMOUR_REEBOK_NEWBALANCE_GIYIM	https://www.hepsiburada.com/puma-underarmour-reebok-newbalance/spor-giyim-urunleri-c-60000545?filtreler=cinsiyet:Erkek
BOT15	50	ERKEK_KIZ_COCUK	https://www.hepsiburada.com/nike-adidas-hummel-puma-underarmour-reebok-newbalance-skechers-columbia-quiksilver/spor-giyim-urunleri-c-60000545?filtreler=cinsiyet:Erkek%E2%82%AC20%E2%82%ACC3%E2%82%AC87ocuk,K%E2%82%ACC4%E2%82%ACB1z%E2%82%AC20%E2%82%ACC3%E2%82%AC87ocuk
BOT15	50	ERKEK_CANTA	https://www.hepsiburada.com/spor-cantalari-c-369686?filtreler=cinsiyet:Erkek
BOT16	50	OLTA_MAKINE_2	https://www.hepsiburada.com/daiwa/olta-makineleri-c-1307056
BOT16	50	OLTA_MAKINE_3	https://www.hepsiburada.com/ryobi-albastar-dam2-bauer-dam-lineaeffe/olta-makineleri-c-1307056
BOT16	50	OLTA_KAMIS_2	https://www.hepsiburada.com/daiwa/kamislar-c-1307209
